PARTICIPANT_ID	TEST_SECTION_ID	SENTENCE	USER_INPUT	KEYSTROKE_ID	PRESS_TIME	RELEASE_TIME	LETTER	KEYCODE
020	001	quick science world quick fox hello machine	quick science world quick fox hello machine	001	1900000	1900076	q	113
020	001	quick science world quick fox hello machine	quick science world quick fox hello machine	002	1900103	1900158	u	117
020	001	quick science world quick fox hello machine	quick science world quick fox hello machine	003	1900274	1900330	i	105
020	001	quick science world quick fox hello machine	quick science world quick fox hello machine	004	1900594	1900649	c	99
020	001	quick science world quick fox hello machine	quick science world quick fox hello machine	005	1900740	1900854	k	107
020	001	quick science world quick fox hello machine	quick science world quick fox hello machine	006	1900840	1900897	 	32
020	001	quick science world quick fox hello machine	quick science world quick fox hello machine	007	1901032	1901098	s	115
020	001	quick science world quick fox hello machine	quick science world quick fox hello machine	008	1901092	1901145	c	99
020	001	quick science world quick fox hello machine	quick science world quick fox hello machine	009	1900960	1901080	i	105
020	001	quick science world quick fox hello machine	quick science world quick fox hello machine	010	1901053	1901172	e	101
020	001	quick science world quick fox hello machine	quick science world quick fox hello machine	011	1901590	1901693	n	110
020	001	quick science world quick fox hello machine	quick science world quick fox hello machine	012	1902024	1902149	c	99
020	001	quick science world quick fox hello machine	quick science world quick fox hello machine	013	1901572	1901651	e	101
020	001	quick science world quick fox hello machine	quick science world quick fox hello machine	014	1901612	1901682	 	32
020	001	quick science world quick fox hello machine	quick science world quick fox hello machine	015	1902464	1902568	w	119
020	001	quick science world quick fox hello machine	quick science world quick fox hello machine	016	1902475	1902620	o	111
020	001	quick science world quick fox hello machine	quick science world quick fox hello machine	017	1903040	1903153	r	114
020	001	quick science world quick fox hello machine	quick science world quick fox hello machine	018	1902159	1902307	l	108
020	001	quick science world quick fox hello machine	quick science world quick fox hello machine	019	1903492	1903641	d	100
020	001	quick science world quick fox hello machine	quick science world quick fox hello machine	020	1903496	1903551	 	32
020	001	quick science world quick fox hello machine	quick science world quick fox hello machine	021	1902560	1902652	q	113
020	001	quick science world quick fox hello machine	quick science world quick fox hello machine	022	1904137	1904203	u	117
