PARTICIPANT_ID	TEST_SECTION_ID	SENTENCE	USER_INPUT	KEYSTROKE_ID	PRESS_TIME	RELEASE_TIME	LETTER	KEYCODE
038	001	brown science science world intelligence dog python machine fox	brown science science world intelligence dog python machine fox	001	3700000	3700078	b	98
038	001	brown science science world intelligence dog python machine fox	brown science science world intelligence dog python machine fox	002	3700120	3700188	r	114
038	001	brown science science world intelligence dog python machine fox	brown science science world intelligence dog python machine fox	003	3700340	3700427	o	111
038	001	brown science science world intelligence dog python machine fox	brown science science world intelligence dog python machine fox	004	3700540	3700672	w	119
038	001	brown science science world intelligence dog python machine fox	brown science science world intelligence dog python machine fox	005	3700416	3700510	n	110
038	001	brown science science world intelligence dog python machine fox	brown science science world intelligence dog python machine fox	006	3700565	3700659	 	32
038	001	brown science science world intelligence dog python machine fox	brown science science world intelligence dog python machine fox	007	3700882	3700939	s	115
038	001	brown science science world intelligence dog python machine fox	brown science science world intelligence dog python machine fox	008	3701029	3701127	c	99
038	001	brown science science world intelligence dog python machine fox	brown science science world intelligence dog python machine fox	009	3701448	3701541	i	105
038	001	brown science science world intelligence dog python machine fox	brown science science world intelligence dog python machine fox	010	3701701	3701818	e	101
038	001	brown science science world intelligence dog python machine fox	brown science science world intelligence dog python machine fox	011	3701170	3701298	n	110
038	001	brown science science world intelligence dog python machine fox	brown science science world intelligence dog python machine fox	012	3701848	3701920	c	99
038	001	brown science science world intelligence dog python machine fox	brown science science world intelligence dog python machine fox	013	3701764	3701817	e	101
038	001	brown science science world intelligence dog python machine fox	brown science science world intelligence dog python machine fox	014	3702288	3702347	 	32
038	001	brown science science world intelligence dog python machine fox	brown science science world intelligence dog python machine fox	015	3702268	3702356	s	115
038	001	brown science science world intelligence dog python machine fox	brown science science world intelligence dog python machine fox	016	3701830	3701961	c	99
038	001	brown science science world intelligence dog python machine fox	brown science science world intelligence dog python machine fox	017	3702624	3702695	i	105
038	001	brown science science world intelligence dog python machine fox	brown science science world intelligence dog python machine fox	018	3702006	3702120	e	101
038	001	brown science science world intelligence dog python machine fox	brown science science world intelligence dog python machine fox	019	3703150	3703270	n	110
038	001	brown science science world intelligence dog python machine fox	brown science science world intelligence dog python machine fox	020	3701938	3702041	c	99
038	001	brown science science world intelligence dog python machine fox	brown science science world intelligence dog python machine fox	021	3702060	3702122	e	101
038	001	brown science science world intelligence dog python machine fox	brown science science world intelligence dog python machine fox	022	3703927	3704071	 	32
038	001	brown science science world intelligence dog python machine fox	brown science science world intelligence dog python machine fox	023	3703850	3703918	w	119
038	001	brown science science world intelligence dog python machine fox	brown science science world intelligence dog python machine fox	024	3703013	3703138	o	111
038	001	brown science science world intelligence dog python machine fox	brown science science world intelligence dog python machine fox	025	3704704	3704804	r	114
